SYMBOL,CLOSING PRICE,DAY,DATE
VZ,52.68,0,2017-01-09
VZ,52.759998,1,2017-01-10
VZ,52.459999,2,2017-01-11
VZ,52.68,3,2017-01-12
VZ,52.549999,4,2017-01-13
VZ,52.740002,1,2017-01-17
VZ,52.25,2,2017-01-18
VZ,52.360001,3,2017-01-19
VZ,52.720001,4,2017-01-20
VZ,52.41,0,2017-01-23
VZ,50.119999,1,2017-01-24
VZ,49.77,2,2017-01-25
VZ,49.119999,3,2017-01-26
VZ,49.599998,4,2017-01-27
VZ,49.369999,0,2017-01-30
VZ,49.009998,1,2017-01-31
VZ,48.389999,2,2017-02-01
VZ,48.279999,3,2017-02-02
VZ,48.580002,4,2017-02-03
VZ,48.029999,0,2017-02-06
VZ,48.040001,1,2017-02-07
VZ,48.369999,2,2017-02-08
VZ,48.810001,3,2017-02-09
VZ,48.98,4,2017-02-10
VZ,48.549999,0,2017-02-13
VZ,48.27,1,2017-02-14
VZ,48.080002,2,2017-02-15
VZ,48.459999,3,2017-02-16
VZ,49.189999,4,2017-02-17
VZ,49.43,1,2017-02-21
VZ,49.669998,2,2017-02-22
VZ,50.310001,3,2017-02-23
VZ,50.599998,4,2017-02-24
VZ,49.939999,0,2017-02-27
VZ,49.630001,1,2017-02-28
VZ,49.810001,2,2017-03-01
VZ,49.98,3,2017-03-02
VZ,50.09,4,2017-03-03
VZ,50.029999,0,2017-03-06
VZ,49.439999,1,2017-03-07
VZ,49.16,2,2017-03-08
VZ,49.279999,3,2017-03-09
VZ,49.349998,4,2017-03-10
VZ,49.470001,0,2017-03-13
VZ,49.360001,1,2017-03-14
VZ,50.139999,2,2017-03-15
VZ,50.040001,3,2017-03-16
VZ,50.389999,4,2017-03-17
VZ,50.240002,0,2017-03-20
VZ,50.16,1,2017-03-21
VZ,49.709999,2,2017-03-22
VZ,49.639999,3,2017-03-23
VZ,49.68,4,2017-03-24
VZ,49.139999,0,2017-03-27
VZ,49.299999,1,2017-03-28
VZ,49.130001,2,2017-03-29
VZ,49.060001,3,2017-03-30
VZ,48.75,4,2017-03-31
