SYMBOL,CLOSING PRICE,DAY,DATE
S,2.87,4,2016-01-15
S,2.64,1,2016-01-19
S,2.45,2,2016-01-20
S,2.5,3,2016-01-21
S,2.87,4,2016-01-22
S,2.52,0,2016-01-25
S,2.99,1,2016-01-26
S,2.92,2,2016-01-27
S,3.05,3,2016-01-28
S,3.02,4,2016-01-29
S,3.07,0,2016-02-01
S,2.77,1,2016-02-02
S,2.84,2,2016-02-03
S,2.83,3,2016-02-04
S,2.85,4,2016-02-05
S,2.55,0,2016-02-08
S,2.65,1,2016-02-09
S,2.72,2,2016-02-10
S,2.55,3,2016-02-11
S,2.66,4,2016-02-12
S,2.79,1,2016-02-16
S,2.99,2,2016-02-17
S,3.07,3,2016-02-18
S,2.93,4,2016-02-19
S,3.02,0,2016-02-22
S,2.95,1,2016-02-23
S,3.05,2,2016-02-24
S,3.07,3,2016-02-25
S,3.33,4,2016-02-26
S,3.44,0,2016-02-29
S,3.47,1,2016-03-01
S,3.75,2,2016-03-02
S,4,3,2016-03-03
S,3.82,4,2016-03-04
S,3.97,0,2016-03-07
S,3.98,1,2016-03-08
S,3.96,2,2016-03-09
S,3.73,3,2016-03-10
S,3.71,4,2016-03-11
S,3.72,0,2016-03-14
S,3.55,1,2016-03-15
S,3.57,2,2016-03-16
S,3.4,3,2016-03-17
S,3.26,4,2016-03-18
S,3.21,0,2016-03-21
S,3.37,1,2016-03-22
S,3.15,2,2016-03-23
S,3.26,3,2016-03-24
S,3.26,0,2016-03-28
S,3.42,1,2016-03-29
S,3.45,2,2016-03-30
S,3.48,3,2016-03-31
S,3.63,4,2016-04-01
S,3.44,0,2016-04-04
S,3.5,1,2016-04-05
S,3.59,2,2016-04-06
S,3.51,3,2016-04-07
S,3.5,4,2016-04-08
S,3.43,0,2016-04-11
S,3.49,1,2016-04-12
S,3.42,2,2016-04-13
S,3.5,3,2016-04-14
S,3.59,4,2016-04-15
S,3.56,0,2016-04-18
S,3.68,1,2016-04-19
S,3.8,2,2016-04-20
S,3.68,3,2016-04-21
S,3.74,4,2016-04-22
S,3.8,0,2016-04-25
S,3.68,1,2016-04-26
S,3.68,2,2016-04-27
S,3.58,3,2016-04-28
S,3.43,4,2016-04-29
S,3.49,0,2016-05-02
S,3.67,1,2016-05-03
S,3.47,2,2016-05-04
S,3.44,3,2016-05-05
S,3.54,4,2016-05-06
S,3.4,0,2016-05-09
S,3.5,1,2016-05-10
S,3.49,2,2016-05-11
S,3.49,3,2016-05-12
S,3.44,4,2016-05-13
S,3.43,0,2016-05-16
S,3.52,1,2016-05-17
S,3.58,2,2016-05-18
S,3.66,3,2016-05-19
S,3.59,4,2016-05-20
S,3.57,0,2016-05-23
S,3.51,1,2016-05-24
S,3.53,2,2016-05-25
S,3.61,3,2016-05-26
S,3.68,4,2016-05-27
S,3.8,1,2016-05-31
S,3.75,2,2016-06-01
S,3.77,3,2016-06-02
S,3.78,4,2016-06-03
S,3.84,0,2016-06-06
S,3.91,1,2016-06-07
S,3.82,2,2016-06-08
S,3.81,3,2016-06-09
S,3.71,4,2016-06-10
S,3.62,0,2016-06-13
S,3.68,1,2016-06-14
S,3.79,2,2016-06-15
S,3.71,3,2016-06-16
S,3.71,4,2016-06-17
S,3.86,0,2016-06-20
S,4.16,1,2016-06-21
S,4.38,2,2016-06-22
S,4.39,3,2016-06-23
S,4.12,4,2016-06-24
S,4.19,0,2016-06-27
S,4.33,1,2016-06-28
S,4.48,2,2016-06-29
S,4.53,3,2016-06-30
S,4.53,4,2016-07-01
S,4.49,1,2016-07-05
S,4.45,2,2016-07-06
S,4.54,3,2016-07-07
S,4.68,4,2016-07-08
S,4.87,0,2016-07-11
S,4.82,1,2016-07-12
S,4.89,2,2016-07-13
S,5.01,3,2016-07-14
S,5,4,2016-07-15
S,4.75,0,2016-07-18
S,4.52,1,2016-07-19
S,4.52,2,2016-07-20
S,4.6,3,2016-07-21
S,4.62,4,2016-07-22
S,5.9,0,2016-07-25
S,6.25,1,2016-07-26
S,5.79,2,2016-07-27
S,6,3,2016-07-28
S,6.14,4,2016-07-29
S,6.12,0,2016-08-01
S,5.96,1,2016-08-02
S,6.09,2,2016-08-03
S,6.22,3,2016-08-04
S,6.17,4,2016-08-05
S,6.22,0,2016-08-08
S,6.18,1,2016-08-09
S,6.16,2,2016-08-10
S,6.1,3,2016-08-11
S,6.09,4,2016-08-12
S,6.15,0,2016-08-15
S,6.05,1,2016-08-16
S,6.01,2,2016-08-17
S,6.02,3,2016-08-18
S,5.93,4,2016-08-19
S,6.04,0,2016-08-22
S,6.12,1,2016-08-23
S,6.09,2,2016-08-24
S,6.18,3,2016-08-25
S,6.14,4,2016-08-26
S,6.23,0,2016-08-29
S,6.14,1,2016-08-30
S,6.18,2,2016-08-31
S,6.2,3,2016-09-01
S,6.42,4,2016-09-02
S,6.34,1,2016-09-06
S,6.63,2,2016-09-07
S,6.8,3,2016-09-08
S,6.65,4,2016-09-09
S,6.92,0,2016-09-12
S,6.56,1,2016-09-13
S,6.51,2,2016-09-14
S,6.79,3,2016-09-15
S,6.65,4,2016-09-16
S,6.65,0,2016-09-19
S,6.21,1,2016-09-20
S,6.36,2,2016-09-21
S,6.62,3,2016-09-22
S,6.64,4,2016-09-23
S,6.65,0,2016-09-26
S,6.73,1,2016-09-27
S,6.78,2,2016-09-28
S,6.66,3,2016-09-29
S,6.63,4,2016-09-30
S,6.57,0,2016-10-03
S,6.7,1,2016-10-04
S,6.66,2,2016-10-05
S,6.53,3,2016-10-06
S,6.48,4,2016-10-07
S,6.73,0,2016-10-10
S,6.78,1,2016-10-11
S,6.78,2,2016-10-12
S,6.77,3,2016-10-13
S,7.03,4,2016-10-14
S,6.92,0,2016-10-17
S,6.86,1,2016-10-18
S,6.88,2,2016-10-19
S,6.72,3,2016-10-20
S,6.55,4,2016-10-21
S,6.92,0,2016-10-24
S,6.5,1,2016-10-25
S,6.36,2,2016-10-26
S,6.29,3,2016-10-27
S,6.31,4,2016-10-28
S,6.16,0,2016-10-31
S,6.17,1,2016-11-01
S,5.95,2,2016-11-02
S,6.07,3,2016-11-03
S,6.13,4,2016-11-04
S,6.18,0,2016-11-07
S,6.27,1,2016-11-08
S,7.11,2,2016-11-09
S,7.08,3,2016-11-10
S,7.09,4,2016-11-11
S,7.5,0,2016-11-14
S,7.74,1,2016-11-15
S,7.68,2,2016-11-16
S,7.49,3,2016-11-17
S,7.35,4,2016-11-18
S,7.45,0,2016-11-21
S,7.65,1,2016-11-22
S,7.69,2,2016-11-23
S,7.89,4,2016-11-25
S,7.86,0,2016-11-28
S,8,1,2016-11-29
S,7.84,2,2016-11-30
S,7.94,3,2016-12-01
S,7.98,4,2016-12-02
S,8.05,0,2016-12-05
S,8.17,1,2016-12-06
S,8.9,2,2016-12-07
S,8.74,3,2016-12-08
S,8.48,4,2016-12-09
S,8.2,0,2016-12-12
S,8.28,1,2016-12-13
S,8.33,2,2016-12-14
S,8.45,3,2016-12-15
S,8.24,4,2016-12-16
S,8.44,0,2016-12-19
S,8.43,1,2016-12-20
S,8.41,2,2016-12-21
S,8.5,3,2016-12-22
S,8.5,4,2016-12-23
S,8.69,1,2016-12-27
S,8.72,2,2016-12-28
S,8.81,3,2016-12-29
S,8.42,4,2016-12-30
S,8.56,1,2017-01-03
S,8.79,2,2017-01-04
S,8.77,3,2017-01-05
S,8.69,4,2017-01-06
S,8.7,0,2017-01-09
S,8.76,1,2017-01-10
S,8.63,2,2017-01-11
S,8.46,3,2017-01-12
S,8.61,4,2017-01-13
S,8.65,1,2017-01-17
S,8.73,2,2017-01-18
S,8.97,3,2017-01-19
S,8.93,4,2017-01-20
S,9.18,0,2017-01-23
