"('TMUS', 'TMUSP')",37.360001,2,2016-01-20
"('TMUS', 'TMUSP')",37.650002,1,2016-01-19
"('TMUS', 'TMUSP')",64.989998,2,2016-01-20
"('TMUS', 'TMUSP')",65.540001,1,2016-01-19
"('TMUS', 'TMUSP')",47.290001,4,2016-09-02
"('TMUS', 'TMUSP')",46.25,3,2016-09-01
"('TMUS', 'TMUSP')",77.389999,3,2016-09-01
"('TMUS', 'TMUSP')",58.049999,3,2016-12-29
"('TMUS', 'TMUSP')",58.00,2,2016-12-28
"('TMUS', 'TMUSP')",95.089996,3,2016-12-29
"('TMUS', 'TMUSP')",95.110001,2,2016-12-28
"('TMUS', 'TMUSP')",38.439999,2,2016-03-30
"('TMUS', 'TMUSP')",38.43,1,2016-03-29
"('TMUS', 'TMUSP')",66.339996,2,2016-03-30
"('TMUS', 'TMUSP')",66.510002,1,2016-03-29
"('TMUS', 'TMUSP')",49.50,2,2016-10-26
"('TMUS', 'TMUSP')",49.599998,1,2016-10-25
"('TMUS', 'TMUSP')",82.349998,2,2016-10-26
"('TMUS', 'TMUSP')",82.629997,1,2016-10-25
"('TMUS', 'TMUSP')",77.57,3,2016-09-29
"('TMUS', 'TMUSP')",78.349998,2,2016-09-28
"('TMUS', 'TMUSP')",46.459999,3,2016-09-29
"('TMUS', 'TMUSP')",46.810001,2,2016-09-28
"('TMUS', 'TMUSP')",54.439999,4,2016-12-02
"('TMUS', 'TMUSP')",54.259998,3,2016-12-01
"('TMUS', 'TMUSP')",89.43,4,2016-12-02
"('TMUS', 'TMUSP')",89.150002,3,2016-12-01
"('TMUS', 'TMUSP')",47.029999,3,2016-09-22
"('TMUS', 'TMUSP')",45.880001,2,2016-09-21
"('TMUS', 'TMUSP')",78.639999,3,2016-09-22
"('TMUS', 'TMUSP')",76.910004,2,2016-09-21
"('TMUS', 'TMUSP')",40.59,0,2016-02-01
"('TMUS', 'TMUSP')",40.150002,4,2016-01-29
"('TMUS', 'TMUSP')",69.949997,0,2016-02-01
"('TMUS', 'TMUSP')",69.019997,4,2016-01-29
"('TMUS', 'TMUSP')",39.849998,1,2016-04-19
"('TMUS', 'TMUSP')",39.25,0,2016-04-18
"('TMUS', 'TMUSP')",68.720001,1,2016-04-19
"('TMUS', 'TMUSP')",67.790001,0,2016-04-18
"('TMUS', 'TMUSP')",46.75,4,2016-10-21
"('TMUS', 'TMUSP')",47.049999,3,2016-10-20
"('TMUS', 'TMUSP')",78.25,4,2016-10-21
"('TMUS', 'TMUSP')",79.25,3,2016-10-20
"('TMUS', 'TMUSP')",46.919998,0,2016-09-26
"('TMUS', 'TMUSP')",47.290001,4,2016-09-23
"('TMUS', 'TMUSP')",78.349998,0,2016-09-26
"('TMUS', 'TMUSP')",78.949997,4,2016-09-23
