SYMBOL,CLOSING PRICE,DAY,DATE
T,41.450001,2,2017-03-29
T,41.560001,1,2017-03-28
T,42.529999,4,2016-12-30
T,41.59,2,2017-02-22
T,41.73,1,2017-02-21
T,42.349998,4,2017-03-10
T,41.939999,3,2017-03-09
T,41.119999,1,2017-02-07
T,41.060001,0,2017-02-06
T,41.880001,1,2017-03-07
T,41.959999,0,2017-03-06
T,41.389999,2,2017-01-25
T,41.360001,1,2017-01-24
T,42.59,2,2017-03-15
T,42.09,1,2017-03-14
T,42.040001,2,2017-03-01
T,41.790001,1,2017-02-28
T,43.02,1,2017-01-03
T,35.27,3,2015-06-04
T,35.03,2,2015-06-03
T,33.07,1,2015-03-24
T,33.28,0,2015-03-23
T,34.35,0,2015-06-01
T,34.54,4,2015-05-29
T,33.16,1,2015-04-07
T,33.33,0,2015-04-06
T,32.89,2,2015-04-01
T,32.65,1,2015-03-31
T,34.33,4,2015-05-15
T,34.13,3,2015-05-14
T,34.59,0,2015-06-08
T,34.57,4,2015-06-05
T,34.57,4,2015-06-05
T,35.27,3,2015-06-04
T,34.95,2,2015-05-27
T,34.67,1,2015-05-26
T,34.64,3,2015-04-30
T,34.76,2,2015-04-29
T,32.66,1,2015-04-21
T,32.83,0,2015-04-20
T,34.42,4,2015-05-01
T,34.64,3,2015-04-30
T,32.65,2,2015-04-08
T,34.37,1,2015-05-19
T,34.87,0,2015-05-18
T,34.87,0,2015-05-18
T,34.33,4,2015-05-15
T,34.41,0,2015-06-15
T,34.650002,4,2015-06-12
T,32.65,1,2015-03-31
T,32.97,0,2015-03-30
T,34.53,0,2015-05-04
T,34.42,4,2015-05-01
T,34.01,4,2015-04-24
T,34.23,3,2015-04-23
T,34.80,3,2015-05-28
T,34.95,2,2015-05-27
T,32.65,2,2015-04-08
T,33.16,1,2015-04-07
T,33.69,4,2015-05-08
T,33.37,3,2015-05-07
T,32.83,0,2015-04-20
T,32.51,4,2015-04-17
T,34.13,3,2015-05-14
T,33.90,2,2015-05-13
T,34.509998,1,2015-06-09
T,34.59,0,2015-06-08
T,34.62,2,2015-05-20
T,34.37,1,2015-05-19
T,35.07,3,2015-05-21
T,34.62,2,2015-05-20
T,33.13,3,2015-04-02
T,32.89,2,2015-04-01
T,34.86,1,2015-04-28
T,34.09,0,2015-04-27
T,33.23,4,2015-03-20
T,33.20,3,2015-03-19
T,33.59,2,2015-03-18
T,32.90,1,2015-03-17
T,33.06,0,2015-03-16
T,32.76,4,2015-03-13
T,33.13,3,2015-03-12
T,32.62,2,2015-03-11
T,32.78,1,2015-03-10
T,33.35,0,2015-03-09
T,33.48,4,2015-03-06
T,34.00,3,2015-03-05
T,34.00,2,2015-03-04
T,34.41,1,2015-03-03
T,34.64,0,2015-03-02
T,34.56,4,2015-02-27
T,34.50,3,2015-02-26
T,34.21,2,2015-02-25
T,34.05,1,2015-02-24
T,33.85,0,2015-02-23
T,34.08,4,2015-02-20
T,34.09,3,2015-02-19
T,34.49,2,2015-02-18
T,34.71,1,2015-02-17
T,34.66,4,2015-02-13
T,34.61,3,2015-02-12
T,34.39,2,2015-02-11
T,34.85,1,2015-02-10
T,34.64,0,2015-02-09
T,34.87,4,2015-02-06
T,34.54,3,2015-02-05
T,34.41,2,2015-02-04
T,34.34,1,2015-02-03
T,33.56,0,2015-02-02
T,32.92,4,2015-01-30
T,32.96,3,2015-01-29
T,32.68,2,2015-01-28
T,32.81,1,2015-01-27
T,33.18,0,2015-01-26
T,33.37,4,2015-01-23
T,33.79,3,2015-01-22
T,34.00,2,2015-01-21
T,33.95,1,2015-01-20
T,33.80,4,2015-01-16
T,33.26,3,2015-01-15
T,33.33,2,2015-01-14
T,33.49,1,2015-01-13
T,33.49,0,2015-01-12
T,33.40,4,2015-01-09
T,33.50,3,2015-01-08
T,33.17,2,2015-01-07
T,33.60,1,2015-01-06
T,33.55,0,2015-01-05
T,33.87,4,2015-01-02
T,33.59,2,2014-12-31
T,34.08,1,2014-12-30
T,34.11,0,2014-12-29
T,34.17,4,2014-12-26
T,33.96,2,2014-12-24
T,34.03,1,2014-12-23
T,33.85,0,2014-12-22
T,33.54,4,2014-12-19
T,33.51,3,2014-12-18
T,32.67,2,2014-12-17
T,32.14,1,2014-12-16
T,32.25,0,2014-12-15
T,32.16,4,2014-12-12
T,32.71,3,2014-12-11
T,32.49,2,2014-12-10
T,32.89,1,2014-12-09
T,33.88,0,2014-12-08
T,33.94,4,2014-12-05
T,33.91,3,2014-12-04
T,34.00,2,2014-12-03
T,34.29,1,2014-12-02
T,35.06,0,2014-12-01
T,35.38,4,2014-11-28
T,35.13,2,2014-11-26
T,34.82,1,2014-11-25
T,34.70,0,2014-11-24
T,35.28,4,2014-11-21
T,35.28,3,2014-11-20
